Source,Target,Type,Id,Label,Weight,Year,linkcode,linkclass
11,13,Directed,9,Homicide - Unclear,1.0,2010,31,Homicide
1,3,Directed,1,Homicide,1.0,2009,28,Homicide
1,5,Undirected,6,Join,1.0,2008,29,Cooperative
2,3,Directed,2,Homicide,1.0,2009,28,Homicide
3,5,Undirected,7,Inform,1.0,UNKNOWN,2,Coperative
3,6,Directed,5,Join,1.0,UNKNOWN,29,Coperative
3,7,Directed,8,Inform Against,1.0,UNKNOWN,30,Antagonistic
4,3,Directed,4,Homicide,1.0,2009,28,Homicide
41,43,Undirected,46,,1.0,,,
41,44,Undirected,23,,1.0,,,
41,45,Directed,10,seniority,1.0,UNKNOWN,,Cooperative
41,47,Undirected,31,,1.0,,,
41,49,Undirected,26,,1.0,,,
42,41,Undirected,29,,1.0,,,
42,43,Undirected,30,,1.0,,,
42,44,Undirected,16,,1.0,,,
42,45,Directed,2,seniority,1.0,UNKNOWN,,Cooperative
42,47,Undirected,25,,1.0,,,
42,49,Undirected,18,,1.0,,,
43,44,Undirected,40,,1.0,,,
43,45,Directed,4,seniority,1.0,UNKNOWN,,Cooperative
43,47,Undirected,44,,1.0,,,
43,49,Undirected,57,,1.0,,,
44,45,Directed,11,seniority,1.0,UNKNOWN,,Cooperative
44,47,Undirected,15,,1.0,,,
44,49,Undirected,20,,1.0,,,
45,45,Directed,1,seniority,1.0,UNKNOWN,,Cooperative
45,47,Directed,3,seniority,1.0,UNKNOWN,,Cooperative
45,49,Directed,6,seniority,1.0,UNKNOWN,,Cooperative
45,"""Carlos Arturo Pitulua-Carrillo""",Directed,7,seniority,1.0,UNKNOWN,,Cooperative
46,41,Undirected,9,,1.0,,,
46,42,Undirected,6,,1.0,,,
46,43,Undirected,56,,1.0,,,
46,44,Undirected,53,,1.0,,,
46,45,Undirected,47,,1.0,,,
46,47,Undirected,49,,1.0,,,
46,48,Undirected,17,,1.0,,,
46,49,Undirected,27,,1.0,,,
46,51,Undirected,55,,1.0,,,
48,41,Undirected,38,,1.0,,,
48,42,Undirected,11,,1.0,,,
48,43,Undirected,35,,1.0,,,
48,44,Undirected,5,,1.0,,,
48,45,Directed,5,seniority,1.0,UNKNOWN,,Cooperative
48,47,Undirected,60,,1.0,,,
48,49,Undirected,2,,1.0,,,
48,51,Undirected,42,,1.0,,,
49,47,Undirected,19,,1.0,,,
10,41,Undirected,36,,1.0,,,
10,42,Undirected,3,,1.0,,,
10,43,Undirected,41,,1.0,,,
10,44,Undirected,45,,1.0,,,
10,45,Directed,8,seniority,1.0,UNKNOWN,,Cooperative
10,46,Undirected,62,,1.0,,,
10,47,Undirected,52,,1.0,,,
10,48,Undirected,43,,1.0,,,
10,49,Undirected,28,,1.0,,,
10,51,Undirected,59,,1.0,,,
51,41,Undirected,12,,1.0,,,
51,42,Undirected,64,,1.0,,,
51,43,Undirected,24,,1.0,,,
51,44,Undirected,50,,1.0,,,
51,45,Directed,9,seniority,1.0,UNKNOWN,,Cooperative
51,47,Undirected,13,,1.0,,,
51,49,Undirected,51,,1.0,,,
53,41,Directed,68,Arrest,1.0,2013,12,Antagonistic
53,44,Directed,69,Arrest,1.0,2012,12,Antagonistic
53,45,Directed,74,Homicide,1.0,2012,,Antagonistic
54,45,Undirected,73,Join,1.0,UNKNOWN,29,Cooperative
